iter	Passed	Remaining
0	214	214179
1	215	107293
2	215	71628
3	216	53787
4	216	43086
5	217	35956
6	217	30859
7	218	27041
8	218	24066
9	219	21691
10	219	19746
11	220	18142
12	221	16797
13	221	15622
14	222	14601
15	222	13707
16	223	12916
17	223	12213
18	224	11585
19	224	11019
20	225	10508
21	225	10042
22	226	9617
23	226	9228
24	227	8870
25	227	8539
26	228	8231
27	228	7946
28	229	7682
29	229	7435
30	230	7204
31	231	6988
32	231	6784
33	232	6594
34	232	6413
35	233	6243
36	233	6083
37	234	5931
38	234	5788
39	235	5657
40	236	5528
41	236	5403
42	237	5286
43	238	5173
44	238	5066
45	239	4963
46	239	4863
47	240	4767
48	240	4676
49	241	4587
50	242	4503
51	242	4421
52	243	4342
53	243	4267
54	244	4195
55	244	4125
56	245	4058
57	245	3992
58	246	3928
59	246	3867
60	247	3807
61	247	3750
62	248	3695
63	249	3641
64	249	3589
65	250	3539
66	250	3492
67	251	3445
68	251	3400
69	252	3356
70	253	3313
71	253	3271
72	254	3231
73	254	3190
74	255	3152
75	256	3114
76	256	3077
77	257	3041
78	257	3005
79	258	2971
80	258	2938
81	259	2906
82	259	2872
83	260	2840
84	261	2811
85	261	2781
86	262	2753
87	262	2725
88	263	2698
89	264	2671
90	264	2645
91	265	2623
92	266	2598
93	267	2573
94	267	2548
95	268	2524
96	268	2500
97	269	2476
98	269	2454
99	270	2431
100	270	2409
101	271	2387
102	271	2367
103	272	2346
104	272	2326
105	273	2306
106	273	2286
107	274	2267
108	275	2248
109	275	2230
110	276	2212
111	276	2194
112	277	2176
113	277	2159
114	278	2141
115	278	2124
116	279	2107
117	279	2091
118	280	2076
119	281	2060
120	281	2045
121	281	2028
122	282	2013
123	282	1999
124	283	1984
125	284	1970
126	284	1955
127	284	1941
128	285	1927
129	285	1913
130	286	1900
131	286	1887
132	287	1873
133	288	1861
134	288	1849
135	289	1837
136	289	1824
137	290	1812
138	290	1800
139	291	1789
140	291	1778
141	292	1765
142	292	1754
143	293	1743
144	293	1733
145	294	1722
146	295	1714
147	295	1703
148	296	1693
149	297	1683
150	297	1673
151	298	1663
152	298	1652
153	299	1643
154	299	1633
155	300	1624
156	300	1614
157	301	1605
158	301	1596
159	302	1587
160	302	1577
161	303	1568
162	303	1559
163	304	1551
164	304	1542
165	305	1534
166	305	1526
167	306	1517
168	307	1509
169	307	1501
170	308	1494
171	308	1486
172	309	1478
173	310	1473
174	311	1466
175	311	1458
176	312	1451
177	312	1443
178	313	1436
179	313	1429
180	314	1421
181	314	1414
182	315	1407
183	316	1401
184	316	1394
185	317	1387
186	317	1380
187	318	1374
188	318	1367
189	319	1361
190	319	1354
191	320	1348
192	320	1341
193	321	1335
194	321	1328
195	322	1322
196	322	1316
197	323	1310
198	324	1304
199	324	1298
200	325	1293
201	326	1288
202	326	1282
203	327	1276
204	327	1271
205	328	1265
206	328	1259
207	329	1254
208	329	1248
209	330	1243
210	331	1238
211	331	1232
212	332	1227
213	332	1222
214	333	1217
215	333	1211
216	334	1206
217	334	1201
218	335	1196
219	335	1190
220	336	1185
221	336	1180
222	337	1175
223	337	1170
224	338	1165
225	338	1160
226	339	1156
227	340	1151
228	340	1147
229	341	1143
230	342	1138
231	342	1134
232	343	1129
233	343	1125
234	344	1121
235	345	1117
236	345	1112
237	346	1109
238	347	1104
239	347	1100
240	348	1096
241	348	1092
242	349	1087
243	349	1083
244	350	1079
245	350	1075
246	351	1071
247	351	1067
248	352	1063
249	353	1059
250	353	1055
251	354	1051
252	355	1048
253	355	1045
254	356	1041
255	357	1037
256	357	1034
257	358	1030
258	358	1026
259	359	1022
260	359	1019
261	360	1015
262	361	1011
263	361	1008
264	362	1004
265	363	1001
266	363	998
267	364	994
268	364	991
269	365	987
270	365	984
271	366	980
272	366	977
273	367	973
274	367	969
275	368	966
276	369	963
277	369	960
278	370	958
279	371	955
280	372	952
281	372	948
282	373	945
283	373	942
284	374	938
285	374	935
286	375	932
287	375	929
288	376	925
289	376	922
290	377	919
291	377	916
292	378	913
293	378	909
294	379	906
295	380	903
296	380	900
297	381	897
298	381	894
299	382	891
300	382	888
301	383	885
302	383	882
303	384	879
304	384	877
305	385	874
306	386	872
307	386	869
308	387	866
309	387	863
310	388	860
311	388	857
312	389	854
313	389	851
314	390	849
315	391	846
316	391	843
317	392	841
318	392	838
319	393	835
320	393	832
321	394	830
322	394	827
323	395	824
324	395	822
325	396	819
326	397	817
327	397	814
328	398	812
329	398	809
330	399	807
331	400	805
332	401	803
333	401	800
334	402	798
335	402	796
336	403	793
337	404	791
338	404	788
339	405	786
340	405	784
341	406	781
342	407	779
343	407	777
344	408	774
345	408	772
346	409	769
347	409	767
348	410	764
349	410	762
350	411	760
351	411	757
352	412	755
353	412	753
354	413	750
355	413	748
356	414	746
357	415	745
358	416	743
359	416	741
360	417	738
361	417	736
362	418	734
363	419	732
364	419	730
365	420	727
366	420	725
367	421	723
368	421	721
369	422	719
370	422	716
371	423	714
372	423	712
373	424	710
374	424	708
375	425	706
376	426	703
377	426	701
378	427	699
379	427	697
380	428	695
381	428	693
382	429	691
383	429	689
384	430	688
385	431	686
386	431	684
387	432	682
388	432	680
389	433	677
390	433	675
391	434	673
392	435	671
393	435	669
394	436	668
395	436	666
396	437	664
397	437	662
398	438	660
399	438	658
400	439	656
401	439	654
402	440	652
403	440	650
404	441	648
405	441	646
406	442	644
407	442	642
408	443	640
409	443	638
410	444	636
411	445	635
412	446	634
413	446	632
414	447	630
415	447	628
416	448	626
417	448	625
418	449	623
419	450	621
420	450	619
421	451	617
422	451	616
423	452	614
424	452	612
425	453	610
426	453	608
427	454	607
428	454	605
429	455	603
430	456	602
431	456	600
432	457	598
433	457	597
434	458	595
435	458	593
436	459	591
437	460	590
438	460	588
439	461	587
440	461	585
441	462	583
442	463	582
443	463	580
444	464	578
445	464	577
446	465	575
447	465	573
448	466	572
449	466	570
450	467	568
451	467	567
452	468	565
453	468	564
454	469	562
455	470	560
456	470	559
457	471	557
458	471	555
459	472	554
460	472	552
461	473	551
462	473	549
463	474	548
464	475	546
465	475	545
466	476	543
467	476	542
468	477	540
469	477	538
470	478	537
471	478	535
472	479	534
473	480	532
474	480	531
475	481	529
476	481	528
477	482	526
478	482	525
479	483	523
480	483	522
481	484	520
482	484	519
483	485	517
484	485	516
485	486	514
486	487	513
487	487	511
488	488	510
489	488	508
490	489	507
491	490	506
492	491	505
493	491	503
494	492	502
495	492	500
496	493	499
497	493	497
498	494	496
499	494	494
500	495	493
501	496	492
502	496	490
503	497	489
504	497	487
505	498	486
506	498	484
507	499	483
508	499	481
509	500	480
510	500	479
511	501	477
512	501	476
513	502	474
514	502	473
515	503	471
516	503	470
517	504	469
518	504	467
519	505	466
520	506	465
521	506	463
522	507	462
523	507	461
524	508	459
525	508	458
526	509	457
527	509	455
528	510	454
529	511	453
530	511	452
531	512	450
532	512	449
533	513	448
534	514	446
535	514	445
536	514	444
537	515	442
538	516	441
539	516	440
540	517	438
541	517	437
542	518	436
543	519	435
544	519	433
545	520	432
546	521	431
547	521	430
548	522	429
549	522	427
550	523	426
551	523	425
552	524	423
553	525	422
554	525	421
555	526	420
556	526	418
557	527	417
558	527	416
559	528	415
560	528	413
561	529	412
562	529	411
563	530	410
564	530	408
565	531	407
566	532	406
567	532	405
568	533	403
569	533	402
570	534	401
571	535	400
572	536	399
573	536	398
574	537	397
575	537	395
576	538	394
577	539	393
578	540	392
579	540	391
580	541	390
581	541	389
582	542	387
583	542	386
584	543	385
585	543	384
586	544	383
587	545	381
588	545	380
589	546	379
590	546	378
591	547	377
592	547	376
593	548	374
594	549	373
595	549	372
596	550	371
597	551	370
598	551	369
599	552	368
600	552	367
601	553	365
602	553	364
603	554	363
604	554	362
605	555	361
606	555	359
607	556	358
608	556	357
609	557	356
610	557	355
611	558	354
612	558	352
613	559	351
614	560	350
615	560	349
616	561	348
617	561	347
618	562	345
619	562	344
620	563	343
621	563	342
622	564	341
623	564	340
624	565	339
625	566	338
626	566	337
627	567	335
628	567	334
629	568	333
630	568	332
631	569	331
632	569	330
633	570	329
634	570	328
635	571	326
636	571	325
637	572	324
638	572	323
639	573	322
640	574	321
641	574	320
642	575	319
643	575	318
644	576	317
645	576	316
646	577	314
647	577	313
648	578	312
649	578	311
650	579	310
651	580	309
652	581	308
653	581	307
654	582	306
655	582	305
656	583	304
657	583	303
658	584	302
659	585	301
660	585	300
661	586	299
662	586	298
663	587	297
664	588	296
665	588	295
666	589	294
667	589	293
668	590	292
669	590	290
670	591	289
671	591	288
672	592	287
673	592	286
674	593	285
675	594	284
676	595	283
677	595	282
678	596	281
679	596	280
680	597	279
681	598	278
682	598	277
683	599	276
684	599	275
685	600	275
686	601	274
687	602	273
688	602	272
689	603	271
690	603	270
691	604	269
692	604	267
693	605	266
694	606	265
695	606	264
696	607	263
697	607	262
698	608	261
699	608	260
700	609	259
701	610	259
702	610	258
703	611	257
704	612	256
705	612	255
706	613	254
707	613	253
708	614	252
709	614	251
710	615	249
711	615	248
712	616	247
713	616	246
714	617	245
715	617	244
716	618	243
717	618	242
718	619	241
719	619	241
720	620	240
721	620	239
722	621	238
723	621	237
724	622	236
725	623	235
726	623	234
727	624	233
728	624	232
729	625	231
730	626	230
731	626	229
732	627	228
733	627	227
734	628	226
735	629	225
736	629	224
737	630	223
738	631	222
739	631	221
740	632	220
741	632	220
742	633	219
743	633	218
744	634	217
745	635	216
746	635	215
747	636	214
748	636	213
749	637	212
750	638	211
751	638	210
752	639	209
753	640	208
754	640	207
755	641	207
756	641	206
757	642	205
758	642	204
759	643	203
760	643	202
761	644	201
762	645	200
763	645	199
764	646	198
765	646	197
766	647	196
767	647	195
768	648	194
769	648	193
770	649	192
771	650	192
772	650	191
773	651	190
774	651	189
775	652	188
776	653	187
777	653	186
778	654	185
779	654	184
780	655	183
781	656	182
782	656	181
783	657	181
784	657	180
785	658	179
786	658	178
787	659	177
788	660	176
789	660	175
790	661	174
791	661	173
792	662	172
793	662	171
794	663	171
795	663	170
796	664	169
797	665	168
798	665	167
799	666	166
800	666	165
801	667	164
802	667	163
803	668	162
804	668	162
805	669	161
806	670	160
807	670	159
808	671	158
809	671	157
810	672	156
811	672	155
812	673	154
813	673	153
814	674	153
815	674	152
816	675	151
817	676	150
818	676	149
819	677	148
820	677	147
821	678	146
822	679	146
823	679	145
824	680	144
825	680	143
826	681	142
827	681	141
828	682	140
829	683	139
830	683	139
831	684	138
832	684	137
833	685	136
834	686	135
835	686	134
836	687	133
837	687	132
838	688	132
839	688	131
840	689	130
841	690	129
842	690	128
843	691	127
844	691	126
845	692	126
846	693	125
847	693	124
848	694	123
849	694	122
850	695	121
851	696	120
852	696	120
853	697	119
854	697	118
855	698	117
856	698	116
857	699	115
858	699	114
859	700	114
860	701	113
861	701	112
862	702	111
863	702	110
864	703	109
865	703	108
866	704	108
867	705	107
868	705	106
869	706	105
870	706	104
871	707	103
872	708	103
873	708	102
874	709	101
875	709	100
876	710	99
877	710	98
878	711	97
879	712	97
880	712	96
881	713	95
882	713	94
883	714	93
